sample,pop,leaf_length,leaf_width,upper_leaf_angle,leaf_angle_boxcox_transformed
Z002E0065,2,737.4954,91.1155,70.4005,13171993.68
Z002E0066,2,797.6049,96.5338,61.4771,7464496.437
Z002E0067,2,682.9055,78.2841,65.4423,9699446.97
Z002E0068,2,689.1149,103.3132,59.323,6428233.529
Z002E0069,2,647.8512,95.7718,54.5713,4530606.724
Z002E0070,2,782.296,104.6981,76.995,19168970.5
Z002E0071,2,690.0849,93.1477,59.383,6455521.142
Z002E0072,2,698.3839,67.4489,48.2837,2712590.645
Z002E0073,2,745.5686,96.8007,61.582,7518013.184
Z002E0074,2,741.9648,90.191,59.3047,6419928.311
Z002E0075,2,709.8234,84.6753,55.2646,4776729.576
Z002E0076,2,711.7717,103.4739,64.3574,9043262.275
Z002E0077,2,737.4447,97.6366,66.7947,10567476.51
Z002E0078,2,677.0018,76.2556,57.8352,5779217.186
Z002E0079,2,744.6395,94.3158,49.3702,2977698.776
Z002E0080,2,776.1039,105.4018,73.3205,15617407.6
Z002E0081,2,743.6002,104.1436,57.7769,5754845.134
Z002E0082,2,772.8044,89.5987,51.9155,3675903.029
Z002E0083,2,715.0416,91.4567,66.9085,10643124.4
Z002E0084,2,721.2388,94.0111,60.3326,6899253.255
Z002E0085,2,686.2654,92.3556,44.9817,2015909.427
Z002E0086,2,715.6736,100.8316,56.448,5220208.152
Z002E0087,2,744.3777,99.0722,70.8652,13540177.18
Z002E0088,2,744.8549,106.0265,67.8358,11275019.89
Z002E0089,2,637.9919,92.7887,62.7852,8152977.414
Z002E0090,2,774.424,85.9244,49.1992,2934719.698
Z002E0091,2,748.1481,91.7096,62.6924,8102600.911
Z002E0092,2,810.5327,83.5524,42.7557,1629705.256
Z002E0093,2,789.136,97.3941,76.5928,18752865.08
Z002E0094,2,643.5776,86.8526,75.6634,17817643.54
Z002E0095,2,715.5226,103.5499,59.2514,6395785.338
Z002E0096,2,727.566,99.0798,63.8958,8774563.079
Z002E0097,2,792.4065,90.5388,69.6635,12603754.72
Z002E0098,2,715.4144,91.656,67.7216,11195696.14
Z002E0099,2,794.3661,95.9816,59.5138,6515313.784
Z002E0100,2,813.3635,105.4719,71.1564,13774855.92
Z002E0101,2,777.7821,90.2728,70.8333,13514655.14
Z002E0102,2,741.8837,91.6134,61.4153,7433104.053
Z002E0103,2,697.7042,92.2286,59.776,6636442.378
Z002E0104,2,710.5039,92.4164,65.5392,9759769.978
Z002E0105,2,768.8484,85.5842,71.7376,14252494.19
Z002E0106,2,717.3029,89.0609,70.2118,13024682.54
Z002E0107,2,697.8595,98.4618,61.2509,7350083.463
Z002E0108,2,750.3332,101.6633,65.9117,9994325.543
Z002E0109,2,728.0815,85.7637,67.2577,10877828.95
Z002E0110,2,770.7161,106.6019,68.9991,12107667.4
Z002E0111,2,731.2027,87.9354,66.2,10178788.87
Z002E0112,2,817.0029,104.2102,63.3613,8471070.769
Z002E0113,2,621.9243,86.4705,45.7165,2157538.816
Z002E0114,2,801.7153,100.5449,65.8174,9934545.454
Z002E0115,2,715.0582,115.098,71.0469,13686249.3
Z002E0116,2,707.8721,85.7304,66.814,10580277.15
Z002E0117,2,745.6238,88.7428,52.234,3771329.728
Z002E0119,2,756.4795,97.4157,57.2407,5534340.279
Z002E0120,2,727.7597,104.4991,68.8504,11998704.18
Z002E0121,2,646.7415,110.583,76.1892,18342260.1
Z002E0122,2,711.0208,108.6476,75.5022,17659118.3
Z002E0123,2,668.2636,86.493,55.0844,4711802.75
Z002E0124,2,711.6807,115.5881,65.5031,9737263.415
Z002E0125,2,696.1317,81.5834,68.2034,11533264.74
Z002E0126,2,739.3358,98.459,67.364,10950051.59
Z002E0127,2,777.0443,85.6326,71.6438,14174567.53
Z002E0128,2,778.3169,101.3418,62.9158,8224277.177
Z002E0129,2,761.4369,89.3339,59.9325,6709553.149
Z002E0130,2,740.5462,107.6835,67.1361,10795656.49
Z002E0131,2,754.8819,89.6914,76.4603,18617301.78
Z002E0132,2,874.5731,98.7662,77.9532,20188621.66
Z002E0133,2,688.4045,90.1312,54.5424,4520561.302
Z002E0134,2,657.3435,93.4597,62.7024,8108017.99
Z002E0135,2,755.5743,77.7478,56.7697,5346008.554
Z002E0136,2,667.7737,85.3695,63.5215,8561180.798
Z002E0137,2,723.8999,96.2801,67.8714,11299835.05
Z002E0138,2,679.9436,92.5103,66.458,10346052.73
Z002E0139,2,798.6294,101.7463,70.3298,13116652.99
Z002E0140,2,727.1273,97.7954,66.8227,10586051.25
Z002E0141,2,737.6319,95.5436,70.8815,13553232.37
Z002E0142,2,827.3057,110.0618,56.0634,5072783.035
Z002E0143,2,783.0469,112.1362,64.5608,9163630.46
Z002E0144,2,783.5163,92.3808,71.2576,13857133.95
Z002E0145,2,743.8546,100.229,59.9123,6700082.184
Z002E0146,2,708.3303,99.2667,72.7032,15073795.48
Z002E0148,2,753.5822,86.6832,68.9925,12102815.19
Z002E0149,2,732.5711,89.0691,64.357,9043026.755
Z002E0150,2,704.3243,80.8373,63.9679,8816126.879
Z002E0151,2,723.5465,97.5654,58.9622,6265990.845
Z002E0152,2,605.8718,94.1477,62.3519,7919787.593
